id,happiness
8001,3.826733828
8002,2.910443962
8003,3.308235645
8004,4.300112307
8005,3.402732253
8006,4.207143188
8007,3.938544989
8008,4.422789752
8009,3.95951283
8010,2.968734086
8011,3.084613383
8012,3.812339067
8013,4.040226936
8014,3.574034393
8015,3.7181198
8016,4.419370353
8017,3.707401454
8018,4.420544446
8019,3.862205267
8020,4.080480993
8021,4.08585912
8022,3.744404018
8023,4.022313595
8024,3.593156695
8025,3.167362809
8026,4.022904396
8027,4.176544309
8028,4.031851232
8029,4.272034883
8030,4.244180143
8031,3.942716122
8032,4.114722371
8033,4.064273119
8034,3.543733716
8035,3.488219082
8036,4.61470145
8037,4.103216171
8038,4.114383698
8039,3.587816477
8040,4.173212349
8041,4.297499537
8042,3.819173336
8043,3.924831569
8044,3.78003937
8045,4.273571372
8046,3.947129965
8047,4.259059072
8048,3.983504772
8049,3.975766778
8050,4.389634609
8051,3.680847347
8052,4.232781053
8053,3.033369601
8054,3.948189676
8055,4.30196631
8056,2.789831758
8057,3.946020782
8058,3.468690693
8059,3.115413189
8060,4.123739243
8061,3.044075668
8062,3.51178658
8063,4.026780367
8064,4.101823866
8065,4.042060435
8066,4.188461185
8067,4.202760994
8068,4.105908215
8069,3.539799511
8070,4.125208855
8071,3.95871681
8072,4.392687678
8073,3.730485976
8074,4.000996113
8075,3.40331465
8076,3.68400836
8077,3.521344304
8078,3.662011743
8079,4.530791402
8080,3.925093889
8081,3.936365724
8082,3.917120159
8083,4.426605761
8084,4.413541496
8085,4.51108551
8086,4.14943248
8087,4.005283892
8088,4.270612121
8089,3.608641922
8090,3.811199427
8091,4.205871761
8092,4.037098825
8093,4.125657618
8094,4.286691308
8095,4.622973502
8096,3.342400372
8097,4.25480938
8098,3.929843247
8099,3.490276635
8100,4.048112214
8101,4.221403003
8102,4.038661599
8103,3.490324318
8104,4.518070638
8105,4.05384171
8106,4.28279072
8107,4.301097274
8108,4.090843558
8109,3.747918904
8110,3.707466245
8111,4.280171394
8112,3.565956473
8113,3.936737061
8114,4.48192811
8115,4.005696356
8116,3.945321262
8117,3.705310941
8118,3.611583531
8119,3.955494523
8120,4.551670074
8121,3.04399693
8122,4.162466645
8123,3.531567872
8124,3.766408563
8125,4.130047441
8126,4.576873779
8127,2.105769008
8128,4.011048675
8129,3.746936321
8130,3.909210563
8131,3.853581011
8132,4.138273239
8133,4.248618126
8134,4.267003536
8135,4.183289051
8136,4.458362281
8137,4.088989913
8138,3.625420928
8139,3.958446324
8140,3.050748944
8141,3.998167932
8142,3.742018521
8143,4.393725932
8144,3.70759505
8145,4.051953554
8146,2.147647977
8147,4.125223756
8148,2.637169659
8149,3.609335899
8150,3.747811377
8151,2.756549478
8152,4.038107514
8153,3.557549536
8154,3.755569637
8155,3.792283654
8156,3.916560113
8157,3.446667969
8158,3.314946532
8159,4.063747942
8160,4.057391286
8161,3.488261342
8162,3.880025268
8163,3.919849217
8164,4.010399342
8165,4.094362795
8166,4.400590241
8167,3.836999059
8168,3.027480364
8169,3.315819919
8170,3.88628
8171,4.048259795
8172,3.940037847
8173,3.804253936
8174,3.700200438
8175,3.740112841
