iter	Passed	Remaining
767	1943	840
768	1945	837
769	1947	834
770	1949	831
771	1951	829
772	1953	826
773	1955	823
774	1957	821
775	1960	818
776	1962	815
777	1964	813
778	1966	810
779	1968	807
780	1970	804
781	1973	802
782	1976	800
783	1978	797
784	1980	794
785	1982	791
786	1984	789
787	1986	786
788	1989	784
789	1992	781
790	1994	778
791	1996	776
792	1998	773
793	2000	770
794	2002	768
795	2004	765
796	2007	763
797	2009	760
798	2011	757
799	2013	755
800	2015	752
801	2018	750
802	2021	747
803	2023	745
804	2026	742
805	2028	739
806	2030	737
807	2032	734
808	2034	731
809	2036	729
810	2038	726
811	2040	723
812	2043	721
813	2045	718
814	2047	715
815	2049	713
816	2051	710
817	2053	708
818	2055	705
819	2057	702
820	2059	700
821	2062	697
822	2064	694
823	2066	692
824	2068	689
825	2070	686
826	2072	684
827	2074	681
828	2077	679
829	2079	676
830	2081	673
831	2083	671
832	2085	668
833	2087	665
834	2089	663
835	2092	660
836	2094	658
837	2097	655
838	2099	653
839	2101	650
840	2104	648
841	2106	645
842	2108	642
843	2110	640
844	2112	637
845	2114	634
846	2116	632
847	2119	629
848	2121	627
849	2123	624
850	2125	621
851	2136	621
852	2142	620
853	2147	618
854	2151	616
855	2155	614
856	2158	612
857	2162	609
858	2165	607
859	2168	605
860	2171	602
861	2174	600
862	2177	597
863	2179	595
864	2181	592
865	2184	590
866	2186	587
867	2188	584
868	2190	582
869	2192	579
870	2194	576
871	2196	574
872	2198	571
873	2201	569
874	2203	566
875	2205	564
876	2207	561
877	2209	558
878	2211	556
879	2213	553
880	2215	550
881	2218	548
882	2221	545
883	2223	543
884	2225	540
885	2227	538
886	2229	535
887	2231	532
888	2234	530
889	2236	527
890	2238	525
891	2240	522
892	2242	519
893	2244	517
894	2246	514
895	2248	512
896	2250	509
897	2253	506
898	2255	504
899	2257	501
900	2259	499
901	2261	496
902	2263	493
903	2265	491
904	2268	488
905	2270	486
906	2272	483
907	2274	480
908	2276	478
909	2278	475
910	2281	473
911	2283	470
912	2285	468
913	2287	465
914	2289	462
915	2291	460
916	2293	457
917	2295	455
918	2297	452
919	2299	449
920	2301	447
921	2303	444
922	2306	442
923	2308	439
924	2310	437
925	2312	434
926	2314	432
927	2317	429
928	2319	426
929	2321	424
930	2323	421
931	2326	419
932	2328	416
933	2329	414
934	2332	411
935	2334	409
936	2337	406
937	2339	404
938	2341	401
939	2344	398
940	2346	396
941	2348	393
942	2351	391
943	2353	388
944	2355	386
945	2357	383
946	2360	381
947	2362	378
948	2364	376
949	2367	373
950	2369	371
951	2371	368
952	2373	366
953	2376	363
954	2378	361
955	2381	358
956	2383	356
957	2385	353
958	2388	351
959	2391	348
960	2393	346
961	2397	343
962	2399	341
963	2401	338
964	2404	336
965	2406	333
966	2424	333
967	2426	330
968	2429	328
969	2431	325
970	2433	323
971	2435	320
972	2438	318
973	2440	315
974	2442	313
975	2445	310
976	2447	308
977	2449	305
978	2451	303
979	2454	300
980	2456	297
981	2458	295
982	2461	292
983	2463	290
984	2465	287
985	2467	285
986	2469	282
987	2471	280
988	2474	277
989	2476	275
990	2478	272
991	2480	270
992	2482	267
993	2485	265
994	2487	262
995	2489	259
996	2492	257
997	2494	254
998	2496	252
999	2498	249
1000	2500	247
1001	2502	244
1002	2504	242
1003	2506	239
1004	2508	237
1005	2510	234
1006	2512	232
1007	2514	229
1008	2516	227
1009	2518	224
1010	2521	221
1011	2523	219
1012	2527	217
1013	2529	214
1014	2531	212
1015	2533	209
1016	2535	206
1017	2538	204
1018	2540	201
1019	2542	199
1020	2544	196
1021	2546	194
1022	2548	191
1023	2551	189
1024	2553	186
1025	2555	184
1026	2558	181
1027	2560	179
1028	2562	176
1029	2564	174
1030	2566	171
1031	2568	169
1032	2585	167
1033	2588	165
1034	2590	162
1035	2592	160
1036	2594	157
1037	2597	155
1038	2599	152
1039	2601	150
1040	2603	147
1041	2605	145
1042	2607	142
1043	2609	139
1044	2611	137
1045	2613	134
1046	2615	132
1047	2618	129
1048	2620	127
1049	2622	124
1050	2624	122
1051	2626	119
1052	2629	117
1053	2631	114
1054	2633	112
1055	2635	109
1056	2637	107
1057	2639	104
1058	2641	102
1059	2644	99
1060	2646	97
1061	2648	94
1062	2650	92
1063	2652	89
1064	2654	87
1065	2656	84
1066	2659	82
1067	2661	79
1068	2663	77
1069	2665	74
1070	2667	72
1071	2669	69
1072	2671	67
1073	2674	64
1074	2676	62
1075	2678	59
1076	2680	57
1077	2682	54
1078	2684	52
1079	2686	49
1080	2688	47
1081	2690	44
1082	2692	42
1083	2694	39
1084	2696	37
1085	2698	34
1086	2701	32
1087	2703	29
1088	2705	27
1089	2707	24
1090	2710	22
1091	2712	19
1092	2714	17
1093	2716	14
1094	2718	12
1095	2720	9
1096	2722	7
1097	2725	4
1098	2726	2
1099	2728	0
